id,level,category,front,back,accent,source,tags
86_oral_001,3,口頭作文,日本の夏,Лето в Японии,,第86回,口頭作文
86_expr_001,3,口頭作文表現,日本の夏は蒸し暑いです。,Лето в Японии жаркое и влажное.,,第86回,作文
86_expr_002,3,口頭作文表現,多くの人は夏休みに旅行します。,Многие люди путешествуют во время летних каникул.,,第86回,作文
86_expr_003,3,口頭作文表現,私は北海道に住んでいるので、本州より涼しいです。,Я живу на Хоккайдо, поэтому здесь прохладнее, чем на Хонсю.,,第86回,作文
86_expr_004,3,口頭作文表現,夏には花火大会や祭りがあります。,Летом проходят фейерверки и фестивали.,,第86回,作文
86_expr_005,3,口頭作文表現,最近は北海道でも暑い日が増えています。,В последнее время даже на Хоккайдо стало больше жарких дней.,,第86回,作文
86_vocab_001,1,頻出語彙,лето,夏,ле́то,第86回,名詞
86_vocab_002,1,頻出語彙,жаркий,暑い,жа́ркий,第86回,形容詞
86_vocab_003,1,頻出語彙,влажный,湿った・湿度が高い,вла́жный,第86回,形容詞
86_vocab_004,1,頻出語彙,путешествовать,旅行する,путеше́ствовать,第86回,動詞
86_vocab_005,1,頻出語彙,фейерверк,花火,фейерве́рк,第86回,名詞
86_vocab_006,1,頻出語彙,фестиваль,祭り・フェスティバル,фестива́ль,第86回,名詞
86_vocab_007,1,頻出語彙,каникулы,休暇・休み,кани́кулы,第86回,名詞
86_vocab_008,1,頻出語彙,прохладный,涼しい,прохла́дный,第86回,形容詞
86_vocab_009,1,頻出語彙,последнее время,最近,после́днее вре́мя,第86回,表現
86_vocab_010,1,頻出語彙,становиться / стать,〜になる,станови́ться / стать,第86回,体
